Company,Job,Salary,Location,Year
MPHASIS CORPORATION,SOFTWARE ARCHIECT,140000.0,"RANCHO CUCAMONGA, CA",2023
DATA WAREHOUSE LABS INC,SOFTWARE ARCHITECT,86680.0,"ALBANY, NY",2023
KINGS AND QUEENS CHESS ACADEMY INC,SOFTWARE ARCHITECT,92120.0,"CARY, NC",2023
SYSTEM SOFT TECHNOLOGIES LLC,SOFTWARE ARCHITECT,96000.0,"PLANO, TX",2023
SYSTEM SOFT TECHNOLOGIES LLC,SOFTWARE ARCHITECT,96000.0,"PLANO, TX",2023
SYSTEM SOFT TECHNOLOGIES LLC,SOFTWARE ARCHITECT,96000.0,"PLANO, TX",2023
ITCAPS LLC,SOFTWARE ARCHITECT,98920.0,"ATLANTA, GA",2023
HCL GLOBAL SYSTEMS INC,SOFTWARE ARCHITECT,98920.0,"JOHNS CREEK, GA",2023
ITCAPS LLC,SOFTWARE ARCHITECT,98920.0,"ATLANTA, GA",2023
HAN IT STAFFING INC,SOFTWARE ARCHITECT,105080.0,"WHIPPANY, NJ",2023
I-LINK SOLUTIONS INC,SOFTWARE ARCHITECT,110000.0,"ALBANY, NY",2023
I-LINK SOLUTIONS INC,SOFTWARE ARCHITECT,120000.0,"ALBANY, NY",2023
PROWORQS INC,SOFTWARE ARCHITECT,124000.0,"MCDONALD, PA",2023
PROWORQS INC,SOFTWARE ARCHITECT,124000.0,"ALBANY, NY",2023
PROWORQS INC,SOFTWARE ARCHITECT,124000.0,"ALBANY, NY",2023
PRIVATE MACHINES INC,SOFTWARE ARCHITECT,139840.0,"BROOKLYN, NY",2023
COMPUTER AID INC,SOFTWARE ARCHITECT,140000.0,"SAYREVILLE, NJ",2023
SWIFT PACE SOLUTIONS INC,SOFTWARE ARCHITECT,150000.0,"WESTFIELD, IN",2023
KINGS AND QUEENS CHESS ACADEMY INC,SOFTWARE ARCHITECT,60000.0,"CARY, NC",2023
MARLABS LLC,SOFTWARE ARCHITECT,64000.0,"MIAMI, FL",2023
NAVTECH SOLUTIONS INC,SOFTWARE ARCHITECT,68910.0,"HOUSTON, TX",2023
CALIFORNIA SOFTTECH INC,SOFTWARE ARCHITECT,69514.0,"WEST BLOOMFIELD TOWNSHIP, MI",2023
CALIFORNIA SOFTTECH INC,SOFTWARE ARCHITECT,69514.0,"WEST BLOOMFIELD TOWNSHIP, MI",2023
GLOBAL IT INC,SOFTWARE ARCHITECT,70000.0,"IRVING, TX",2023
MENSCHFORCE LLC,SOFTWARE ARCHITECT,70000.0,"HOUSTON, TX",2023
NAVTECH SOLUTIONS INC,SOFTWARE ARCHITECT,70075.0,"IRVING, TX",2023
NAVTECH SOLUTIONS INC,SOFTWARE ARCHITECT,70075.0,"DALLAS, TX",2023
DENTSPLY SIRONA INC,SOFTWARE ARCHITECT,73091.0,"CHARLOTTE, NC",2023
COULOIR TECHNOLOGY GROUP INC,SOFTWARE ARCHITECT,73466.0,"BOTHELL, WA",2023
COULOIR TECHNOLOGY GROUP INC,SOFTWARE ARCHITECT,73466.0,"BOTHELL, WA",2023
CLOUDMELLOW CONSULTING LTD CO,SOFTWARE ARCHITECT,73466.0,"PLANO, TX",2023
CLOUDMELLOW CONSULTING LTD CO,SOFTWARE ARCHITECT,74500.0,"PLANO, TX",2023
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,75546.0,"WEBSTER, MA",2023
IOPEX TECHNOLOGIES INC,SOFTWARE ARCHITECT,76253.0,"SAN JOSE, CA",2023
ALPHA TECH SYSTEMS LLC,SOFTWARE ARCHITECT,80000.0,"ALBANY, NY",2023
MPHASIS CORPORATION,SOFTWARE ARCHITECT,80141.0,"FAIRFIELD, IA",2023
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,81000.0,"CHARLOTTE, NC",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,82015.0,"FORT WAYNE, IN",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,83388.0,"NEENAH, WI",2023
XEBIA USA INC,SOFTWARE ARCHITECT,84000.0,"CINCINNATI, OH",2023
ISIMS LLC,SOFTWARE ARCHITECT,84270.0,"HOUSTON, TX",2023
V2C SOLUTIONS LLC,SOFTWARE ARCHITECT,85000.0,"WEST COLUMBIA, SC",2023
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,85000.0,"AUSTIN, TX",2023
HGS DIGITAL LLC,SOFTWARE ARCHITECT,85000.0,"CHICAGO, IL",2023
HGS DIGITAL LLC,SOFTWARE ARCHITECT,85000.0,"CHICAGO, IL",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,85426.0,"MILWAUKEE, WI",2023
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,85509.0,"BELTON, TX",2023
ATOS SYNTEL INC,SOFTWARE ARCHITECT,87000.0,"PORTLAND, OR",2023
ATOS SYNTEL INC,SOFTWARE ARCHITECT,87000.0,"PORTLAND, OR",2023
ALGOBRAINZ LLC,SOFTWARE ARCHITECT,87318.0,"ALBANY, NY",2023
ALGOBRAINZ LLC,SOFTWARE ARCHITECT,87318.0,"ALBANY, NY",2023
SILICON NEST LLC,SOFTWARE ARCHITECT,87526.0,"SHERIDAN, WY",2023
VJ TECHNOSOFT INC,SOFTWARE ARCHITECT,88000.0,"MENDNDS, NY",2023
SLIGO SOFTWARE SOLUTIONS INC,SOFTWARE ARCHITECT,88000.0,"ALBANY, NY",2023
HERMITAGE INFO TECH LLC,SOFTWARE ARCHITECT,89253.0,"DURHAM, NC",2023
HERMITAGE INFO TECH LLC,SOFTWARE ARCHITECT,89253.0,"PISCATAWAY, NJ",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,89300.0,"O&#39;FALLON, MO",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,89940.0,"TEMPLE TERRACE, FL",2023
EVRY USA CORPORATION,SOFTWARE ARCHITECT,90000.0,"HOLMDEL, NJ",2023
KET SOFTWARE SERVICES LLC,SOFTWARE ARCHITECT,90000.0,"ALBANY, NY",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,90314.0,"FRANKLIN, TN",2023
INNOMINDS SOFTWARE INC,SOFTWARE ARCHITECT,90522.0,"MECHANICSBURG, PA",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,90522.0,"HOUSTON, TX",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,90522.0,"HOUSTON, TX",2023
SAILOTECH INC,SOFTWARE ARCHITECT,91000.0,"NORTH PLAINFIELD, NJ",2023
QUESTPAY INC,SOFTWARE ARCHITECT,91021.0,"TROY, MI",2023
NEUSOFT AMERICA INC,SOFTWARE ARCHITECT,93000.0,"LIVONIA, MI",2023
LOTUSDATA LLP,SOFTWARE ARCHITECT,93600.0,"HOUSTON, TX",2023
MPHASIS CORPORATION,SOFTWARE ARCHITECT,94000.0,"WILMINGTON, DE",2023
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,95000.0,"KNOXVILLE, TN",2023
CONFIZ LLC,SOFTWARE ARCHITECT,95058.0,"BENTONVILLE, AR",2023
EVOKE TECHNOLOGIES,SOFTWARE ARCHITECT,95701.0,"DAYTON, OH",2023
C-VISION INC,SOFTWARE ARCHITECT,96054.0,"LEANDER, TX",2023
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,96425.0,"HOOVER, AL",2023
HEXAWARE TECHNOLOGIES INC,SOFTWARE ARCHITECT,96866.0,"AUSTIN, TX",2023
APTIV CORPORATION,SOFTWARE ARCHITECT,97490.0,"CARMEL, IN",2023
APTIV CORPORATION,SOFTWARE ARCHITECT,97490.0,"CARMEL, IN",2023
INTELLYK INC,SOFTWARE ARCHITECT,98904.0,"PLANO, TX",2023
INNOMINDS SOFTWARE INC,SOFTWARE ARCHITECT,98904.0,"COPPELL, TX",2023
HITACHI VANTARA LLC,SOFTWARE ARCHITECT,98904.0,"IRVING, TX",2023
INNOMINDS SOFTWARE INC,SOFTWARE ARCHITECT,98904.0,"IRVING, TX",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,98904.0,"IRVING, TX",2023
INNOMINDS SOFTWARE INC,SOFTWARE ARCHITECT,98904.0,"PLANO, TX",2023
KTECH PRODUCTS LLC,SOFTWARE ARCHITECT,98904.0,"EULESS, TX",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,98904.0,"PLANO, TX",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,98904.0,"PLANO, TX",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,98904.0,"IRVING, TX",2023
AEZION INC,SOFTWARE ARCHITECT,98904.0,"FRISCO, TX",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,98904.0,"PLANO, TX",2023
SMARTSOFT INTERNATIONAL INC,SOFTWARE ARCHITECT,99008.0,"JOHNS CREEK, GA",2023
EVOKE TECHNOLOGIES,SOFTWARE ARCHITECT,99008.0,"ALPHARETTA, GA",2023
HEXAWARE TECHNOLOGIES INC,SOFTWARE ARCHITECT,99050.0,"ALPHARETTA, GA",2023
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,99100.0,"CUMMING, GA",2023
NK TECHNOLABS LLC,SOFTWARE ARCHITECT,99466.0,"NEW YORK, NY",2023
NK TECHNOLABS LLC,SOFTWARE ARCHITECT,99466.0,"WHITE PLAINS, NY",2023
NK TECHNOLABS LLC,SOFTWARE ARCHITECT,99466.0,"WHITE PLAINS, NY",2023
NK TECHNOLABS LLC,SOFTWARE ARCHITECT,99466.0,"WHITE PLAINS, NY",2023
RWALTZ SOFTWARE SERVICES GROUP INC,SOFTWARE ARCHITECT,100000.0,"ALBANY, NY",2023
XTGLOBAL INC,SOFTWARE ARCHITECT,100000.0,"SCHENECTADY, NY",2023
XTGLOBAL INC,SOFTWARE ARCHITECT,100000.0,"SCHENECTADY, NY",2023
SHARPLINK SOFTWARE LLC,SOFTWARE ARCHITECT,100000.0,"LEANDER, TX",2023
ITECH US INC,SOFTWARE ARCHITECT,100000.0,"JUSTIN, TX",2023
QUADRANT STAFFING LLC,SOFTWARE ARCHITECT,100000.0,"PULLALUP, WA",2023
GOLI TECHNOLOGIES LLC,SOFTWARE ARCHITECT,100069.0,"MALVERN, PA",2023
CYBER SPHERE LLC,SOFTWARE ARCHITECT,100069.0,"MALVERN, PA",2023
INFOUNITE INC,SOFTWARE ARCHITECT,100984.0,"FREMONT, CA",2023
INFOUNITE INC,SOFTWARE ARCHITECT,100984.0,"FREMONT, CA",2023
INFOUNITE INC,SOFTWARE ARCHITECT,100984.0,"FREMONT, CA",2023
INFOUNITE INC,SOFTWARE ARCHITECT,100984.0,"FREMONT, CA",2023
INFOUNITE INC,SOFTWARE ARCHITECT,100984.0,"FREMONT, CA",2023
INFOUNITE INC,SOFTWARE ARCHITECT,100984.0,"FREMONT, CA",2023
INFOUNITE INC,SOFTWARE ARCHITECT,100984.0,"FREMONT, CA",2023
INFOUNITE INC,SOFTWARE ARCHITECT,100984.0,"FREMONT, CA",2023
INFOUNITE INC,SOFTWARE ARCHITECT,100984.0,"FREMONT, CA",2023
ECCLESIASTES INC,SOFTWARE ARCHITECT,101109.0,"CHARLOTTE, NC",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,101192.0,"PLANO, TX",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,101192.0,"PLANO, TX",2023
UBERTEJAS LLC,SOFTWARE ARCHITECT,101192.0,"LEWISVILLE, TX",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,101192.0,"PLANO, TX",2023
MIND TECH INC,SOFTWARE ARCHITECT,101192.0,"FRISCO, TX",2023
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,101200.0,"CHARLOTTE, NC",2023
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,101200.0,"CONCORD, NC",2023
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,101200.0,"CONCORD, NC",2023
CALIFORNIA SOFTTECH INC,SOFTWARE ARCHITECT,101275.0,"WEST BLOOMFIELD TOWNSHIP, MI",2023
APTIV CORPORATION,SOFTWARE ARCHITECT,102480.0,"TROY, MI",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,103189.0,"JOHNSTON, RI",2023
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,103938.0,"FAIRFAX, VA",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,104105.0,"HOLLY SPRINGS, GA",2023
INNOMINDS SOFTWARE INC,SOFTWARE ARCHITECT,104838.0,"SAN MATEO, CA",2023
MISSISSIPPI STATE UNIVERSITY,SOFTWARE ARCHITECT,105288.0,"STARKVILLE, MS",2023
UBERTEJAS LLC,SOFTWARE ARCHITECT,106000.0,"LEWISVILLE, TX",2023
INNOMINDS SOFTWARE INC,SOFTWARE ARCHITECT,107148.0,"SAN FRANCISCO, CA",2023
ALSTOM TRANSPORT USA INC,SOFTWARE ARCHITECT,108077.0,"PITTSBURGH, PA",2023
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,109300.0,"WOODBRIDGE, NJ",2023
TANISHA SYSTEMS INC,SOFTWARE ARCHITECT,109300.0,"SOUTH PLAINFIELD, NJ",2023
COMPUNNEL SOFTWARE GROUP INC,SOFTWARE ARCHITECT,110000.0,"CHARLOTTE, NC",2023
9TO9 SOFTWARE SOLUTIONS LLC,SOFTWARE ARCHITECT,110000.0,"BOISE, ID",2023
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,110000.0,"CHARLOTTE, NC",2023
SMARTSOFT INTERNATIONAL INC,SOFTWARE ARCHITECT,110240.0,"JOHNS CREEK, GA",2023
CITADEL INFORMATION SERVICES INC,SOFTWARE ARCHITECT,110240.0,"HERNDON, VA",2023
TECH MAHINDRA (AMERICAS) INC,SOFTWARE ARCHITECT,110240.0,"MCLEAN, VA",2023
INNOMINDS SOFTWARE INC,SOFTWARE ARCHITECT,110240.0,"GREAT FALLS, VA",2023
ALPHA OMEGA INTEGRATION LLC,SOFTWARE ARCHITECT,110240.0,"VIENNA, VA",2023
ARMATURE SOLUTIONS CORPORATION,SOFTWARE ARCHITECT,110240.0,"STERLING, VA",2023
INNOMINDS SOFTWARE INC,SOFTWARE ARCHITECT,110844.0,"SAN MATEO, CA",2023
SCHNEIDER ELECTRIC USA INC,SOFTWARE ARCHITECT,110885.0,"OAK CREEK, WI",2023
PERSISTENT SYSTEMS INC,SOFTWARE ARCHITECT,110926.0,"CONCORD, CA",2023
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,112000.0,"PITTSBURGH, PA",2023
LABCORP EARLY DEVELOPMENT LABORATORIES INC,SOFTWARE ARCHITECT,112944.0,"CARMEL, IN",2023
AMDOCS INC,SOFTWARE ARCHITECT,113360.0,"ALPHARETTA, GA",2023
ITECH US INC,SOFTWARE ARCHITECT,114000.0,"SCHAUMBURG, IL",2023
NEW EDGE TECHNOLOGY LLC,SOFTWARE ARCHITECT,114026.0,"CHERRY HILL, NJ",2023
NEW EDGE TECHNOLOGY PRIVATE LIMITED,SOFTWARE ARCHITECT,114026.0,"CHERRY HILL, NJ",2023
NEW EDGE TECHNOLOGY PRIVATE LIMITED,SOFTWARE ARCHITECT,114026.0,"CHERRY HILL, NJ",2023
EVOLUTYZ CORP,SOFTWARE ARCHITECT,114067.0,"ITASCA, IL",2023
WEB WISOR INC,SOFTWARE ARCHITECT,114067.0,"NAPERVILLE, IL",2023
PARAMOUNT SOFTWARE SOLUTIONS INC,SOFTWARE ARCHITECT,115000.0,"AUSTIN, TX",2023
SYSTEM SOFT TECHNOLOGIES LLC,SOFTWARE ARCHITECT,115000.0,"CHARLOTTE, NC",2023
THE PNC FINANCIAL SERVICES GROUP INC,SOFTWARE ARCHITECT,115000.0,"PITTSBURGH, PA",2023
