Company,Job,Salary,Location,Year
EXO IMAGING INC,DEEP LEARNING &amp; COMPUTER VISION ENGINEER,158100.0,"REDWOOD CITY, CA",2022
ILLUMINA INC,DEEP LEARNING AI RESEARCHER,95000.0,"SAN DIEGO, CA",2022
OPEN SYSTEMS INC,DEEP LEARNING COMPUTER VISION SCIENTIST,110140.0,"ALPHARETTA, GA",2022
UNIVERSAL ROBOTICS INC,DEEP LEARNING ENGINEER,87000.0,"NASHVILLE, TN",2022
NIKON RESEARCH CORPORATION OF AMERICA,DEEP LEARNING ENGINEER,121763.0,"BELMONT, CA",2022
FEMTOSENSE INC,DEEP LEARNING ENGINEER,135000.0,"PALO ALTO, CA",2022
CENTER FOR DEEP LEARNING IN ELECTRONICS MANUFACTURING INC,DEEP LEARNING ENGINEER,141378.0,"SAN JOSE, CA",2022
PHIAR TECHNOLOGIES INC,DEEP LEARNING ENGINEER,144100.0,"REDWOOD CITY, CA",2022
NVIDIA CORPORATION,DEEP LEARNING ENGINEER,157477.0,"SANTA CLARA, CA",2022
XSENSEAI INC,DEEP LEARNING ENGINEER,165000.0,"SAN DIEGO, CA",2022
XSENSEAI INC,DEEP LEARNING ENGINEER,165000.0,"SAN DIEGO, CA",2022
A3 BY AIRBUS LLC,DEEP LEARNING ENGINEER,260000.0,"SUNNYVALE, CA",2022
FORD MOTOR COMPANY,DEEP LEARNING ENGINEER - COMPUTER VISION,86100.0,"WEST LAFAYETTE, IN",2022
NAUTO INC,DEEP LEARNING ENGINEER - SCENE UNDERSTANDING,167149.0,"PALO ALTO, CA",2022
NAUTO INC,DEEP LEARNING ENGINEER - SCENE UNDERSTANDING,167149.0,"PALO ALTO, CA",2022
E INK CORPORATION,DEEP LEARNING ENGINEER II,111100.0,"BILLERICA, MA",2022
RIVIAN AUTOMOTIVE LLC,DEEP LEARNING ENGINEER II,172100.0,"PALO ALTO, CA",2022
RIVIAN AUTOMOTIVE LLC,"DEEP LEARNING ENGINEER, SELF-DRIVING",166400.0,"PALO ALTO, CA",2022
RIVIAN AUTOMOTIVE LLC,"DEEP LEARNING ENGINEER, SELF-DRIVING",175000.0,"PALO ALTO, CA",2022
RIVIAN AUTOMOTIVE LLC,"DEEP LEARNING ENGINEER, SELF-DRIVING",175000.0,"PALO ALTO, CA",2022
CRUISE LLC,DEEP LEARNING INFERENCE ENGINEER,180000.0,"SAN FRANCISCO, CA",2022
RIVIAN AUTOMOTIVE LLC,"DEEP LEARNING MANAGER, SELF-DRIVING",280000.0,"PALO ALTO, CA",2022
TOPAZ LABS LLC,DEEP LEARNING RESEARCHER,188000.0,"DALLAS, TX",2022
SAMSUNG SEMICONDUCTOR INC,"DEEP LEARNING, SR. HARDWARE ENGINEER",184163.0,"SAN JOSE, CA",2022
